country,health_expenditure_absolute
Angola,3058912582.80465
Benin,466366801.08831537
Burundi,280452717.5231804
Cameroon,1986754832.0502985
Central African Republic,237308814.05568725
Congo,
C?te d¡¯Ivoire,
Democratic Republic of the Congo,
Egypt,
Gabon,584602752.8821595
Ghana,2747744469.549346
Guinea,788453920.6601073
Kenya,4955640754.009182
Liberia,538941030.9000001
Mauritius,752408394.4478364
Morocco,7438069416.750488
Mozambique,1657973809.4445844
Nigeria,20385125184.32013
Rwanda,1049313478.5295223
Sierra Leone,565971417.0911152
South Africa,35686884402.90029
Sudan,2387009641.7750487
Uganda,2000318127.9589837
Zambia,1534014940.589553
Zimbabwe,1190267988.0288625
