Countries,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Angola,1989.939,2445.388,3974.666,2967.384,2961.34,2990.597,3030.019,3140.94,3222.419,3316.369
Benin,1239.74,1361.816,1306.021,1433.067,1510.188,1586.803,1667.858,1752.074,1836.895,1922.215
Burundi,259.906,273.956,310.952,326.842,320.636,156.497,168.286,179.305,190.883,200.024
Cameroon,1539.354,1654.245,1592.262,1722.821,1821.317,1922.852,2018.241,2106.939,2208.328,2315.635
Central African Republic,475.188,505.678,482.523,510.568,529.492,548.832,573.245,593.472,613.025,633.676
Egypt,3802.438,4145.939,4587.172,3743.608,3541.75,3160.11,3468.707,3786.363,4132.243,4502.88
Gabon,7289.442,9113.798,9478.236,9079.278,9256.657,9094.46,9127.831,9168.27,9230.524,9308.535
Ghana,2274.469,2535.468,2305.225,2322.121,2231.793,2189.284,2283.84,2385.266,2485.505,2587.516
Guinea,1008.687,1139.967,1334.939,1529.46,1652.312,1727.219,1797.568,1873.103,1952.997,2035.315
Kenya,2067.987,2208.691,2265.658,2110,2218.025,2186.578,2184.801,2257.632,2373.765,2502.266
Liberia,600.475,677.387,749.187,808.259,855.186,887.426,918.578,956.794,1007.411,1044.757
Mauritius,9010.929,9086.524,10250.571,11543.601,12601.486,13098.934,14110.026,15130.848,16215.701,17351.751
Morocco,3375.438,3911.053,3571.091,3901.397,4203.553,4470.641,4746.461,5033.829,5335.07,5603.744
Mozambique,456.582,504.038,572.757,618.283,645.329,684.966,713.844,738.92,808.686,884.727
Nigeria,2099.135,2089.072,2198.266,1637.468,877.073,835.488,940.215,977.587,1040.381,1047.084
Rwanda,803.456,854.139,1005.011,1044.352,985.99,990.116,1031.914,1092.522,1168.326,1255.892
Sierra Leone,837.636,859.108,856.815,754.283,856.315,883.486,881.807,906.224,943.643,970.815
South Africa,5630.983,6938.723,6629.419,6111.746,6377.068,6517.088,6643.386,6761.907,6873.106,6996.419
Sudan,794.696,772.509,718.049,795.679,606.289,594.903,694.315,738.09,776.146,807.142
Uganda,919.329,1007.258,1079.393,1123.325,1186.529,1303.888,1450.248,1497.467,1561.943,1671.361
Zambia,958.265,1134.713,1454.826,1369.129,1226.095,1466.458,1651.743,1798.6,1895.31,1986.961
Zimbabwe,1725.017,2264.653,2004.28,2119.318,2113.811,2127.493,2097.713,2102.496,2092.745,2083.147
