,country,total_confirmed_cases,total_livestock_2023
0,Angola,22,36636606.35
1,Benin,396,30465528.13
2,Burundi,35786,15396052.96
3,Cameroon,4728,55745511.7
4,Central African Republic,8001,31673804.15
5,Congo,2993,2334546.04
6,Côte d’Ivoire,1753,
7,Democratic Republic of the Congo,390881,21418475.37
8,Egypt,6,40681582.46
9,Gabon,37,1715124.42
10,Ghana,15812,49796790.4
11,Guinea,29,45384346.9
12,Kenya,399,224918041.19
13,Liberia,2539,2920431.76
14,Mauritius,9,273150.58
15,Morocco,28,138430136.71
16,Mozambique,116,18628515.42
17,Nigeria,105823,521003192.03
18,Rwanda,796,11689650.9
19,Sierra Leone,10,7356935.15
20,South Africa,1291,134374328.16
21,Sudan,74,379619241.62
22,Uganda,14956,107052719.32
23,Zambia,18,30961207.79
24,Zimbabwe,24,46067378.71
