,country,year,basic_sanitation,limited_sanitation,unimproved_sanitation,open_defecation
0,Angola,2022.0,52.17727576169328,21.27985753514418,9.254820480573116,17.28804622258943
1,Benin,2022.0,19.49350171042671,19.96692870464991,12.03735982065217,48.50220976427121
2,Burundi,2022.0,45.69068464117658,12.90604203183599,39.95833407103649,1.444939255950951
3,Cameroon,2022.0,43.11916533849597,17.05100557332829,35.57936566087869,4.250463427297053
4,Central African Republic,2022.0,13.84629384177521,16.31394451011248,44.79512634164211,25.04463530647021
5,Congo,2021.0,20.55481020875595,34.39772850025894,36.69393350295352,8.353527788031583
6,Côte d’Ivoire,,,,,
7,Democratic Republic of the Congo,2022.0,16.17447255423928,17.57231553695178,54.40703155038813,11.84618035842082
8,Egypt,2022.0,97.52875000999437,1.617199846990971,<1,<1
9,Gabon,2022.0,49.89623452367131,28.99065071126833,19.09080259764983,2.022312167410529
10,Ghana,2022.0,28.58388716718974,44.54885684992351,9.65053497284271,17.21672101004405
11,Guinea,2022.0,31.27074171420271,29.31064522760134,32.27290704608963,7.145706012106313
12,Kenya,2022.0,36.52872002926701,24.33034047958537,32.69076381154544,6.450175679602181
13,Liberia,2022.0,22.52338249725053,26.46120887220416,15.77066104010007,35.24474759044524
14,Mauritius,2022.0,-,-,-,-
15,Morocco,2022.0,87.51634866413073,1.544010918810534,10.93964041705874,<1
16,Mozambique,2022.0,37.37979668279078,5.049639473726558,37.98179428178399,19.58876956169867
17,Nigeria,2022.0,46.57067507748171,16.350088390658,18.63823044199974,18.44100608986056
18,Rwanda,2022.0,73.82644548282099,13.96040573948108,10.353982918642,1.859165859055927
19,Sierra Leone,2022.0,22.91918717742466,34.28313206784352,26.36821592560345,16.42946482912837
20,South Africa,2022.0,77.6342459782462,13.77815831635162,8.438446161397644,<1
21,Sudan,2020.0,36.89208337284276,8.368650484747516,37.44044046132928,17.29882568108044
22,Uganda,2022.0,21.01213033938683,17.14089799107589,58.02525046873452,3.821721200802769
23,Zambia,2022.0,36.30136854147845,21.61705569163131,35.67041846359367,6.411157303296568
24,Zimbabwe,2022.0,34.61785811542333,30.98252311647271,17.08966651335405,17.3099522547499
