Countries,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Algeria,2462.085,2502.13,2446.588,2514.256,2640.191,2988.545,2929.092,2935.816,2326.571,2309.34,2684.465,1975.201,2033.196,2056.556,1674.567,1626.997,1783.41,1800.196,1772.368,1769.091,1947.755,1919.41,1958.238,2304.603,2839.82,3258.153,3690.572,4208.244,5214.762,4262.144,4941.493,5946.345,6057.974,5997.896,6108.878,4691.686,4426.58,4554.15,4568.244,4452.856,3757.585,4169.984,4981.822,5221.813,5579.128,5592.852,5645.511,5680.587,5705.771,5733.606
Angola,1055.339,961.721,936.935,951.5,982.624,1074.327,977.905,1089.96,1151.19,1303.41,1397.414,1310.218,977.93,687.658,484.971,585.668,730.731,830.042,680.922,623.486,771.405,730.652,988.318,1122.365,1438.272,2128.257,2909.07,3493.014,4554.334,3630.103,4089.461,5175.442,5699.986,5880.641,6061.865,4680.829,3936.361,4628.964,3651.304,2926.143,1989.939,2445.388,3974.666,2967.384,2961.34,2990.597,3030.019,3140.94,3222.419,3316.369
Benin,614.04,401.43,385.574,330.58,341.857,359.165,448.478,519.04,527.911,476.325,562.898,558.099,601.645,560.707,375.963,495.048,524.067,489.136,510.571,542.24,503.22,508.351,563.98,698.234,783.763,806.35,837.176,944.755,1098.826,1060.566,1010.314,1099.221,1113.274,1214.313,1251.827,1041.758,1049.531,1094.888,1194.023,1171.015,1239.74,1361.816,1306.021,1433.067,1510.188,1586.803,1667.858,1752.074,1836.895,1922.215
Botswana,1219.569,1057.067,1075.452,1145.987,1097.548,985.391,1288.644,1947.606,2439.381,2628.077,2797.478,2718.95,2729.751,2674.397,2802.477,3084.8,3087.859,3071.641,2886.26,3188.541,3290.347,3099.104,3005.538,4088.461,4743.633,5194.705,5142.914,5371.808,5345.848,4938.25,6041.732,7080.778,6392.987,6436.603,6844.033,5869.738,6411.552,6705.341,6947.818,6679.188,5863.182,7244.158,7726.111,7249.918,7341.129,8002.978,8601.7,9146.434,9725.501,10437.447
Burkina Faso,338.66,287.809,261.617,233.14,203.12,218.83,279.032,315.981,339.602,330.706,381.987,376.497,393.316,365.7,214.467,258.491,273.892,252.618,281.638,293.779,249.18,260.445,286.551,363.727,405.267,443.189,457.366,516.811,621.822,603.222,627.783,727.484,734.438,762.315,767.569,632.191,665.575,710.541,780.482,765.132,824.248,887.527,830.449,866.587,908.372,952.484,997.248,1038.32,1082.581,1129.924
Burundi,232.381,234.94,241.083,247.995,218.999,247.644,253.424,231.932,211.184,213.175,207.113,207.674,187.243,162.572,157.474,167.177,142.588,157.054,141.755,133.412,130.225,127.349,116.392,108.066,122.381,148.71,164.575,170.174,195.79,208.78,231.549,247.097,250.118,255.319,273.133,304.243,281.062,291.859,271.289,261.294,259.906,273.956,310.952,326.842,320.636,156.497,168.286,179.305,190.883,200.024
Cabo Verde,569.223,549.642,522.032,494.441,493.568,542.224,685.354,836.444,997.269,1006.712,1224.464,1284.552,1356.281,1190.076,1247.034,1540.817,1611.23,1568.812,1631.763,1709.177,1689.524,1875.159,2015.386,2524.325,2839.287,3090.988,3174.469,3565.274,4189.744,3918.604,3818.598,4259.084,3958.495,4174.748,4178.127,3560.703,3759.98,3965.504,4165.533,4465.52,3649.151,4072.362,4557.702,5083.19,5388.164,5711.537,6080.15,6439.786,6816.968,7220.745
Cameroon,1004.846,1106.193,1031.862,1012.33,1041.933,1059.933,1344.534,1514.218,1493.9,1292.834,1255.123,1357.676,1207.539,1222.984,808.04,745.55,808.211,794.939,772.304,765.544,660.382,687.404,756.14,949.02,1089.418,1101.546,1147.497,1277.667,1439.39,1409.942,1353.407,1464.888,1404.412,1527.773,1604.627,1382.65,1412.866,1468.929,1585.96,1533.161,1539.354,1654.245,1592.262,1722.821,1821.317,1922.852,2018.241,2106.939,2208.328,2315.635
Central African Republic,321.769,324.98,306.755,287.218,272.557,349.348,442.905,477.652,505.629,486.416,547.344,505.678,488.498,414.585,263.389,333.619,291.002,277.148,285.44,278.512,226.367,229.449,245.313,289.622,312.4,329.417,351.222,393.237,445.966,454.642,476.409,533.358,544.728,364.378,410.048,366.36,387.069,432.172,467.282,460.794,475.188,505.678,482.523,510.568,529.492,548.832,573.245,593.472,613.025,633.676
Chad,222.856,258.003,243.75,238.124,249.329,262.918,314.369,345.453,391.065,357.56,417.245,400.386,404.232,342.139,268.293,318.05,341.819,317.438,346.26,294.234,256.354,303.995,341.005,450.958,700.214,900.944,980.085,1108.571,1283.422,1124.383,1195.527,1313.564,1265.051,1279.847,1332.915,1028.116,920.198,888.615,990.693,935.428,889.735,941.934,933.778,982.381,1012.651,1036.155,1070.544,1097.006,1128.316,1160.371
Comoros,722.292,616.729,571.463,541.823,517.146,510.964,668.645,789.369,824.423,783.311,931.447,905.748,963.711,923.237,664.841,811.987,793.967,718.393,705.347,707.442,632.79,680.521,763.902,958.891,1070.966,1107.206,1138.719,1289.946,1454.493,1407.577,1385.195,1526.567,1484.891,1596.013,1609.102,1323.072,1356.892,1414.088,1518.8,1501.981,1510.592,1549.471,1439.616,1540.685,1629.863,1687.17,1760.404,1828.4,1895.448,1964.46
Djibouti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1076.215,1070.407,1091.835,1058.462,1109.77,1109.097,1078.124,1068.48,1061.623,1084.925,1088.219,1106.677,1121.167,1160.467,1212.849,1271.217,1359.487,1478.419,1692.43,1722.341,1837.212,2038.56,2190.283,2314.559,2470.925,2652.513,2803.689,2926.153,3038.268,3172.748,3223.83,3378.403,3666.833,3895.094,4154.792,4417.009,4716.518,5018.473,5346.528,5639.239
Egypt,580.042,617.659,711.351,846.388,925.97,1049.33,1132.456,1585.217,1858.029,2266.442,1870.847,923.843,825.448,897.202,968.914,1098.086,1209.49,1327.405,1454.957,1518.197,1636.752,1566.199,1355.278,1252.404,1195.597,1331.362,1563.739,1862.164,2271.232,2578.884,2922.796,3077.343,3569.482,3583.854,3705.465,3933.927,3862.011,2592.707,2710.158,3214.301,3802.438,4145.939,4587.172,3743.608,3541.75,3160.11,3468.707,3786.363,4132.243,4502.88
Equatorial Guinea,123.403,109.806,121.292,126.408,130.117,205.657,241.443,284.263,296.908,253.241,312.102,299.071,351.662,343.493,245.881,333.846,527.121,965.017,777.254,1251.452,1885.985,2616.505,3105.658,5373.616,8187.817,10816.42,12744.023,15784.548,22831.933,16578.72,17167.174,21476.215,21570.068,20253.043,19276.253,11219.121,9200,9621.136,10129.619,8355.696,7045.629,8415.533,9020.808,7755.011,8101.698,7892.898,7952.368,7935.394,7640.669,7822.403
Eritrea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,268.192,167.084,195.44,219.091,263.808,270.574,283.919,274.584,238.508,245.162,227.498,258.933,315.55,300.697,321.219,340.334,301.238,415.601,501.424,642.502,693.804,596.754,786.54,603.193,655.424,557.857,580.845,566.731,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Eswatini,1329.789,1359.195,1174.424,1167.158,963.592,736.012,909.797,1149.956,1320.95,1305.673,1558.18,1574.778,1703.465,1747.48,1851.22,2160.27,2005.245,2105.168,1914.241,1861.496,1818.67,1599.207,1473.717,2235.678,2797.022,3174.588,3262.223,3402.163,3214.488,3479.71,4263.91,4603.196,4628.132,4325.841,4133.645,3766.458,3513.8,4031.056,4226.975,4031.719,3535.09,4259.206,4161.741,4173.577,4375.286,4561.871,4725.87,4866.196,5014.547,5154.588
Ethiopia,227.616,228.061,233.306,251.399,229.991,260.757,262.316,271.537,272.448,277.391,284.636,304.279,310.307,186.665,160.749,151.063,163.498,155.766,137.366,128.578,136.056,131.565,123.874,132.704,152.16,181.49,218.637,266.894,350.57,373.199,341.103,377.694,510.537,548.869,622.592,707.975,790.789,822.704,839.861,948.851,969.014,974.185,1143.024,1511.217,1350.401,1108.105,1247.974,1402.477,1565.807,1733.725
Gabon,6093.615,5376.616,4930.527,4619.015,4346.388,4478.468,5735.355,4245.955,4581.144,4899.234,6815.634,5993.32,6015.511,5677.618,4293.942,4956.842,5552.917,5068.093,4161.617,4222.734,4477.321,4065.933,4210.284,5015.596,5837.617,6942.698,7271.093,8652.145,10418.276,7856.853,8933.306,10893.464,9903.41,9760.747,9746.786,7453.114,7082.218,7370.349,8198.56,8111.318,7289.442,9113.798,9478.236,9079.278,9256.657,9094.46,9127.831,9168.27,9230.524,9308.535
Ghana,3489.497,5537.473,6271.521,4114.248,1391.717,1213.391,1094.395,895.18,930.23,924.067,1045.595,1142.797,1102.843,881.079,793.796,918.741,950.015,945.584,1002.604,1012.277,606.501,630.698,714.42,860.469,973.287,1151.305,1320.283,1520.642,1688.077,1477.649,1757.045,2131.746,2197.908,2405.768,2008.586,1784.248,1982.239,2086.598,2276.264,2265.705,2274.469,2535.468,2305.225,2322.121,2231.793,2189.284,2283.84,2385.266,2485.505,2587.516
Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,616.321,660.444,678.626,639.332,626.432,655.749,656.708,628.192,591.511,557.831,461.784,427.879,444.663,517.03,534.339,470.57,426.419,628.711,675.387,637.478,630.549,607.035,645.096,713.128,728.729,712.025,679.964,796.038,891.887,986.528,1008.687,1139.967,1334.939,1529.46,1652.312,1727.219,1797.568,1873.103,1952.997,2035.315
Guinea-Bissau,370.185,463.692,516.549,570.682,388.702,559.368,534.912,444.504,406.033,478.384,571.817,787.213,843.597,636.881,344.118,725.815,676.103,628.438,517.661,496.411,327.943,338.362,374.5,435.072,447.804,482.181,467.998,543.408,672.251,613.569,644.344,775.206,688.497,711.927,712.826,707.897,748.089,864.141,894.667,836.954,838.847,928.35,907.623,1035.294,1106.242,1166.355,1237.83,1306.966,1375.472,1449.153
Kenya,855.46,776.768,721.646,644.496,646.56,622.796,716.676,758.158,759.491,728.324,737.207,674.68,644.596,434.811,505.902,623.706,686.838,677.763,742.079,647.881,617.139,617.047,611.893,668.475,692.709,778.323,854.981,1028.226,1118.755,1123.268,1176.311,1178.599,1396.22,1490.422,1613.101,1625.176,1688.852,1805.398,1987.302,2107.735,2067.987,2208.691,2265.658,2110,2218.025,2186.578,2184.801,2257.632,2373.765,2502.266
Lesotho,334.43,330.808,268.415,289.889,265.387,207.228,232.527,290.681,323.516,329.019,391.983,452.08,505.038,494.606,512.036,549.606,524.624,551.041,508.557,501.75,493.333,414.027,457.662,670.897,852.696,922.416,916.563,930.798,868.532,1011.42,1222.197,1324.607,1261.443,1191.994,1250.627,1104.543,1099.146,1199.628,1215.317,1134.4,1014.795,1162.787,1073.483,1034.246,1061.813,1106.795,1146.294,1187.183,1226.297,1270.449
Liberia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,303.143,305.909,311.768,231.891,286.104,293.471,333.151,388.154,464.437,470.218,505.363,582.614,646.662,716.576,708.816,691.369,709.824,706.239,677.356,623.887,600.475,677.387,749.187,808.259,855.186,887.426,918.578,956.794,1007.411,1044.757
Libya,13449.648,11107.625,10575.644,9671.452,8681.163,8586.407,6733.969,6002.067,5981.627,6070.096,7424.17,8026.293,7950.512,6998.262,6391.134,7102.861,7608.817,7663.003,6171.767,7294.482,7625.01,6693.083,3956.483,4986.326,6180.388,8739.202,10561.378,11801.274,14762.577,10195.762,12478.014,8132.318,14728.068,12026.021,9168.285,7706.743,7817.631,10413.84,11773.86,10525.706,7058.334,5248.302,6386.468,6422.118,6482.099,6874.384,7138.371,7230.392,7371.839,7528.663
Madagascar,599.371,534.073,522.936,498.801,404.876,383.873,427.478,307.636,297.42,288.402,347.714,280.355,311.649,331.998,279.38,295.539,368.663,309.351,310.104,292.558,307.335,350.5,334.838,387.055,298.635,335.388,355.397,459.855,561.654,488.901,492.67,553.45,538.541,560.939,548.905,481.807,489.439,528.379,535.948,531.75,477.375,516.529,522.583,530.466,562.585,575.742,607.133,642.087,690.844,728.275
Malawi,460.392,447.79,416.18,419.657,400.328,358.713,354.471,327.758,354.718,384.328,420.593,523.591,422.469,483.263,278.145,319.894,512.064,583.417,373.078,368.272,352.65,338.478,384.137,345.163,365.696,377.042,400.898,432.115,504.65,571.113,623.414,695.331,506.3,446.999,484.322,497.737,415.016,466.559,501.113,543.685,567.59,580.923,567.203,557.633,463.733,448.289,446.708,456.013,467.806,480.632
Mali,275.479,220.336,190.681,180.346,176.396,174.171,237.685,272.304,268.77,322.213,360.285,359.96,362.204,353.655,265.119,336.392,337.183,309.659,313.318,315.484,263.615,299.414,326.736,381.853,427.523,474.257,506.939,579.325,678.346,681.803,688.89,810.04,753.869,778.808,818.665,723.581,749.846,795.387,856.743,840.211,831.034,902.852,809.941,865.599,898.46,933.147,970.433,1004.077,1040.048,1078.096
Mauritania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,898.741,1002.023,1026.904,852.513,872.712,912.587,904.326,854.319,812.206,773.412,673.361,641.849,634.588,711.709,796.923,963.498,1357.425,1425.466,1647.288,1475.591,1715.923,2012.828,1946.079,2072.492,1826.78,1668.065,1690.813,1758.542,1882.203,1945.05,2040.677,2152.336,2206.776,2403.679,2376.285,2393.647,2459.935,2553.006,2690.755,2734.134
Mauritius,1285.181,1202.559,1139.539,1195.617,1094.957,1099.752,1473.694,1852.036,2132.884,2174.94,2590.272,2819.084,3133.035,3191.192,3492.709,3954.762,4047.248,3753.498,3751.708,3911.109,4157.831,4081.162,4252.93,5072.811,5701.753,5590.468,5772.667,6663.186,8138.17,7416.659,8108.095,9320.873,9416.335,9766.77,10366.355,9507.999,9967.673,10844.145,11642.891,11407.849,9010.929,9086.524,10250.571,11543.601,12601.486,13098.934,14110.026,15130.848,16215.701,17351.751
Morocco,1225.165,969.43,953.628,842.002,752.278,741.673,956.733,1030.894,1193.499,1200.487,1351.48,1418.361,1453.799,1340.916,1482.245,1600.892,1745.452,1561.012,1644.073,1614.86,1486.875,1489.702,1573.475,1914.006,2163.48,2232.944,2427.109,2759.516,3189.2,3162.86,3134.698,3367.347,3224.712,3463.601,3527.712,3235.57,3235.218,3401.256,3615.592,3622.679,3375.438,3911.053,3571.091,3901.397,4203.553,4470.641,4746.461,5033.829,5335.07,5603.744
Mozambique,396.816,300.914,300.392,263.659,270.38,353.788,413.827,187.301,164.966,171.727,271.733,289.247,202.714,200.623,197.895,197.737,252.506,297.228,330.149,364.482,334.841,310.076,317.135,340.566,398.646,432.738,451.128,498.838,579.997,535.666,484.961,604.414,671.212,672.832,683.942,599.4,433.672,463.005,510.38,512.216,456.582,504.038,572.757,618.283,645.329,684.966,713.844,738.92,808.686,884.727
