country,country_code,outbreak_idx,start_date,end_date,termination_reason,total_increment,duration_weeks,model,goodness_of_fit,K,shape,scale
Angola,AGO,1,2024-11-10,2024-12-29,reached last data,4,8,Gamma,0.998290834430362,4.064648605427803,30.414569596284764,0.232370381153569
Benin,BEN,1,2022-06-19,2022-07-24,4 consecutive weeks no increase,3,6,Gamma,0.9999999999999997,3.0000000102764437,1443.519509468922,0.002411074348144446
Burundi,BDI,1,2024-07-21,2025-01-12,reached last data,3116,26,Gamma,0.9998117001406728,3978.77326503328,5.824224168683497,3.929674838794354
C?te d??voire,CIV,1,2024-06-30,2024-12-29,4 consecutive weeks no increase,107,27,Gamma,0.9990475191610866,111.45312530041838,5.069611981507598,2.9380626278671147
Cameroon,CMR,1,2022-02-27,2022-04-17,4 consecutive weeks no increase,3,8,Gamma,0.9984732649816097,3.016462315679858,24.332820105566306,0.18618640738123152
Cameroon,CMR,2,2022-04-24,2022-07-31,4 consecutive weeks no increase,5,15,Gamma,0.9776463147760494,5.382029659540466,7.720021124122218,1.3748682933656609
Cameroon,CMR,3,2022-09-04,2022-12-11,4 consecutive weeks no increase,10,15,Gamma,0.9882682889482225,10.296336874491681,13.543315395600676,0.7311631820397605
Cameroon,CMR,4,2023-05-14,2023-08-27,4 consecutive weeks no increase,25,16,Gamma,0.9881344605212482,24.645014306346223,5.703248430802023,0.9119348645160321
Cameroon,CMR,5,2023-09-03,2023-11-05,4 consecutive weeks no increase,2,10,Gamma,0.9674999345184132,2.070329557983211,4.6739145616408715,1.2415926445476095
Cameroon,CMR,6,2024-01-07,2024-02-11,4 consecutive weeks no increase,2,6,Gamma,0.9999999999999999,2.000000010901444,1399.9699818599556,0.0024861559113624173
Cameroon,CMR,7,2024-03-31,2024-05-12,4 consecutive weeks no increase,3,7,Gamma,,,,
Cameroon,CMR,8,2024-08-25,2024-09-29,4 consecutive weeks no increase,1,6,Gamma,0.9999999999999986,1.0000000054571552,1342.4183900791825,0.0025867955017154767
Cameroon,CMR,9,2024-11-10,2024-12-15,4 consecutive weeks no increase,3,6,Gamma,0.9999999999999997,3.0000000102764437,1443.519509468922,0.002411074348144446
Central African Republic,CAF,1,2022-01-02,2022-05-15,4 consecutive weeks no increase,19,20,Gamma,0.9926881362257054,19.80239822893981,4.397275757821802,2.3883924341231357
Central African Republic,CAF,2,2022-07-10,2022-11-13,4 consecutive weeks no increase,9,19,Gamma,0.9787227257638206,13.409566081798719,1.6481123792726626,11.346167746782973
Central African Republic,CAF,3,2022-12-04,2023-04-23,4 consecutive weeks no increase,17,21,Gamma,0.9967039552485395,17.951263541799293,4.347529234704033,2.772346604466874
Central African Republic,CAF,4,2023-12-17,2024-04-28,4 consecutive weeks no increase,21,20,Gamma,0.9918130948230425,22.519314750155093,4.692651584799311,2.5932294948890973
Central African Republic,CAF,5,2024-06-02,2025-01-12,reached last data,76,33,Gamma,0.9947404835007957,109.34843594263911,2.897217690071534,10.543292091827663
Congo,COG,1,2022-04-17,2022-05-22,4 consecutive weeks no increase,2,6,Gamma,0.9999999999999999,2.000000010901444,1399.9699818599556,0.0024861559113624173
Congo,COG,2,2022-08-07,2022-10-09,4 consecutive weeks no increase,3,10,Gamma,0.9621780996334006,3.1271485340652965,7.912809591801107,0.837893949494866
Congo,COG,3,2023-08-06,2023-12-17,4 consecutive weeks no increase,21,20,Gamma,0.9932876801667069,21.430282962073047,3.8528740052647916,2.3885710999648877
Congo,COG,4,2024-01-07,2024-04-07,4 consecutive weeks no increase,19,14,Gamma,0.9866403086902773,19.733586015340574,11.802653272467891,0.8175501422146841
Congo,COG,5,2024-08-04,2024-09-08,4 consecutive weeks no increase,2,6,Gamma,0.9999999999999999,2.000000010901444,1399.9699818599556,0.0024861559113624173
Congo,COG,6,2024-09-22,2024-10-27,4 consecutive weeks no increase,1,6,Gamma,0.9999999999999986,1.0000000054571552,1342.4183900791825,0.0025867955017154767
Congo,COG,7,2024-11-24,2024-12-29,reached last data,2,6,Gamma,0.9306331551405986,4.9592174774723485,4.097357265178275,3.2300670872504544
Democratic Republic of the Congo,COD,1,2022-05-15,2022-07-17,4 consecutive weeks no increase,100,10,Gamma,0.9974518301012049,100.00123740959982,1374.0078073234984,0.005276142559626854
Democratic Republic of the Congo,COD,2,2022-08-07,2025-01-12,reached last data,14604,128,Gamma,0.9975440698360543,9645333138528536.0,4.833904604085944,14259.73944843881
Egypt,EGY,1,2022-09-25,2022-12-18,reached last data,3,4,Gamma,0.9977723502582858,3.4697529816124124,35.81849583625858,0.18935418524307973
Gabon,GAB,1,2024-08-18,2024-09-29,4 consecutive weeks no increase,2,7,Gamma,,,,
Ghana,GHA,1,2022-02-20,2022-04-03,4 consecutive weeks no increase,2,7,Gamma,,,,
