country,country_code,outbreak_idx,start_date,end_date,termination_reason,total_increment,duration_weeks,model,goodness_of_fit,K,alpha,beta
Angola,AGO,1,2024-11-10,2024-12-29,reached last data,4,8,Gompertz,0.9977471581268799,4.152851444620931,286.7566349404304,0.8660567342601629
Benin,BEN,1,2022-06-19,2022-07-24,4 consecutive weeks no increase,3,6,Gompertz,0.9999998215225674,3.000363735397574,4036278636689.3125,8.990169937026822
Burundi,BDI,1,2024-07-21,2025-01-12,reached last data,3116,26,Gompertz,0.9998010557265051,4096.223448159037,9.826271670061276,0.12098133172926236
C?te d??voire,CIV,1,2024-06-30,2024-12-29,4 consecutive weeks no increase,107,27,Gompertz,0.9989387329868596,112.80200996575385,8.641620242060322,0.18024039223151075
Cameroon,CMR,1,2022-02-27,2022-04-17,4 consecutive weeks no increase,3,8,Gompertz,0.997974655471721,3.028944039737457,202.98218601099276,1.286402925396968
Cameroon,CMR,2,2022-04-24,2022-07-31,4 consecutive weeks no increase,5,15,Gompertz,0.9758248004004267,5.735150340871662,9.900135092981406,0.2541222223739802
Cameroon,CMR,3,2022-09-04,2022-12-11,4 consecutive weeks no increase,10,15,Gompertz,0.9860081902281229,10.602907349349403,30.956965249258882,0.39233147640279664
Cameroon,CMR,4,2023-05-14,2023-08-27,4 consecutive weeks no increase,25,16,Gompertz,0.988464858102755,24.68945127807736,11.134260795286652,0.5701413890550859
Cameroon,CMR,5,2023-09-03,2023-11-05,4 consecutive weeks no increase,2,10,Gompertz,0.9668891259000456,2.085969945262511,7.831755316635182,0.44829654652256595
Cameroon,CMR,6,2024-01-07,2024-02-11,4 consecutive weeks no increase,2,6,Gompertz,0.9999998201740669,2.000249421589507,4094587625687.9824,8.987090440569238
Cameroon,CMR,7,2024-03-31,2024-05-12,4 consecutive weeks no increase,3,7,Gompertz,0.9999998317734186,3.000386629856841,1409323652870.6926,6.969993646108543
Cameroon,CMR,8,2024-08-25,2024-09-29,4 consecutive weeks no increase,1,6,Gompertz,0.999999805807615,1.0001265619057647,3481030643723.008,8.942478487515821
Cameroon,CMR,9,2024-11-10,2024-12-15,4 consecutive weeks no increase,3,6,Gompertz,0.9999998215225674,3.000363735397574,4036278636689.3125,8.990169937026822
Central African Republic,CAF,1,2022-01-02,2022-05-15,4 consecutive weeks no increase,19,20,Gompertz,0.9925498285956373,20.013774859729885,7.140147587809706,0.23827973011416967
Central African Republic,CAF,2,2022-07-10,2022-11-13,4 consecutive weeks no increase,9,19,Gompertz,0.9776808131397164,11.151792108957133,3.6177774530761466,0.13157171572335596
Central African Republic,CAF,3,2022-12-04,2023-04-23,4 consecutive weeks no increase,17,21,Gompertz,0.9966332463296358,18.13367324170148,7.14684368657806,0.207945565028766
Central African Republic,CAF,4,2023-12-17,2024-04-28,4 consecutive weeks no increase,21,20,Gompertz,0.9916971236291499,22.90922005940929,7.543596432987702,0.20860986799532563
Central African Republic,CAF,5,2024-06-02,2025-01-12,reached last data,76,33,Gompertz,0.9940382922944176,97.1598507105773,5.5584534498819185,0.08425901477403563
Congo,COG,1,2022-04-17,2022-05-22,4 consecutive weeks no increase,2,6,Gompertz,0.9999998201740669,2.000249421589507,4094587625687.9824,8.987090440569238
Congo,COG,2,2022-08-07,2022-10-09,4 consecutive weeks no increase,3,10,Gompertz,0.9603864204961663,3.209608486975251,12.328704535298211,0.45159360256801406
Congo,COG,3,2023-08-06,2023-12-17,4 consecutive weeks no increase,21,20,Gompertz,0.9928673563386603,21.432056743464656,6.650847823452721,0.26845882865489396
Congo,COG,4,2024-01-07,2024-04-07,4 consecutive weeks no increase,19,14,Gompertz,0.9847625566174496,20.406630057785065,23.797846936239168,0.37489203176916464
Congo,COG,5,2024-08-04,2024-09-08,4 consecutive weeks no increase,2,6,Gompertz,0.9999998201740669,2.000249421589507,4094587625687.9824,8.987090440569238
Congo,COG,6,2024-09-22,2024-10-27,4 consecutive weeks no increase,1,6,Gompertz,0.999999805807615,1.0001265619057647,3481030643723.008,8.942478487515821
Congo,COG,7,2024-11-24,2024-12-29,reached last data,2,6,Gompertz,0.9293285923619858,2.9313397818028966,9.517551214319258,0.2875671341366795
Democratic Republic of the Congo,COD,1,2022-05-15,2022-07-17,4 consecutive weeks no increase,100,10,Gompertz,0.997306473137429,100.37696823562904,23495309979517.418,4.281336566910222
Democratic Republic of the Congo,COD,2,2022-08-07,2025-01-12,reached last data,14604,128,Gompertz,0.9976162978573757,2985472.151229403,13.49266698475263,0.007156042482525016
Egypt,EGY,1,2022-09-25,2022-12-18,reached last data,3,4,Gompertz,0.9983911870285028,3.8748305462328867,242.5319133798799,0.8520351199676256
Gabon,GAB,1,2024-08-18,2024-09-29,4 consecutive weeks no increase,2,7,Gompertz,0.999999949150887,2.000139784590285,1632746392844.7126,7.12192489004317
Ghana,GHA,1,2022-02-20,2022-04-03,4 consecutive weeks no increase,2,7,Gompertz,0.999999949150887,2.000139784590285,1632746392844.7126,7.12192489004317
Ghana,GHA,2,2022-05-29,2023-02-19,4 consecutive weeks no increase,122,39,Gompertz,0.9961808168168118,121.46508955130001,5.382368805218481,0.15512101821650207
Ghana,GHA,3,2023-03-12,2023-06-11,4 consecutive weeks no increase,4,14,Gompertz,0.9786591908687479,4.444234383561664,5.919582685107322,0.2532923157263028
Ghana,GHA,4,2024-09-15,2024-12-22,4 consecutive weeks no increase,5,15,Gompertz,0.9801047163101743,5.553232873023451,4.703270026857337,0.22401373298517177
Guinea,GIN,1,2024-01-07,2024-08-18,4 consecutive weeks no increase,1,6,Gompertz,0.999999805807615,1.0001265619057647,3481030643723.008,8.942478487515821
Guinea,GIN,2,2024-12-01,2025-01-05,reached last data,1,6,Gompertz,0.9999464824842472,1.0034585841400636,8223451678198.116,5.629390555390782
Kenya,KEN,1,2024-07-21,2025-01-19,reached last data,36,27,Gompertz,0.9943767276813353,66.09072713931747,7.17659251642696,0.08082181768369244
Liberia,LBR,1,2022-07-24,2022-09-11,4 consecutive weeks no increase,3,8,Gompertz,0.997974655471721,3.028944039737457,202.98218601099276,1.286402925396968
Liberia,LBR,2,2022-11-20,2023-01-08,4 consecutive weeks no increase,3,8,Gompertz,0.9810524697801141,3.070883224596485,84.70600763071963,0.9919991876031473
Liberia,LBR,3,2023-01-22,2023-05-21,4 consecutive weeks no increase,6,18,Gompertz,0.9856428435638014,6.6440851401042185,5.173908032740124,0.19225253789371213
Liberia,LBR,4,2023-11-12,2023-12-31,4 consecutive weeks no increase,5,8,Gompertz,0.9949233764552047,5.059747594481605,94.29960616483692,1.1170474378144224
Liberia,LBR,5,2024-01-07,2024-04-28,4 consecutive weeks no increase,5,17,Gompertz,0.9915275478244034,5.3428114660772,5.958249364126153,0.23952893316543575
Liberia,LBR,6,2024-08-04,2025-01-05,4 consecutive weeks no increase,58,23,Gompertz,0.9875631748306176,62.99585965652919,89.48134814388506,0.2932369840228441
Liberia,LBR,7,2025-01-12,2025-01-19,reached last data,1,2,Gompertz,,,,
Mauritius,MUS,1,2024-10-20,2024-11-24,4 consecutive weeks no increase,1,6,Gompertz,0.999999805807615,1.0001265619057647,3481030643723.008,8.942478487515821
Morocco,MAR,1,2022-05-29,2024-10-06,reached last data,7,9,Gompertz,0.9939438680350522,10.986422985843669,17.887393244378234,0.28354035790321797
Mozambique,MOZ,1,2022-10-02,2022-11-06,4 consecutive weeks no increase,1,6,Gompertz,0.999999805807615,1.0001265619057647,3481030643723.008,8.942478487515821
Nigeria,NGA,1,2022-01-02,2023-08-27,4 consecutive weeks no increase,846,87,Gompertz,0.9996357496768782,850.5198049962264,90.23714028011906,0.12063943297014511
Nigeria,NGA,2,2023-11-05,2025-01-12,reached last data,210,63,Gompertz,0.9929324918599203,45756094.63652414,16.074406484820557,0.004112064778459085
Rwanda,RWA,1,2024-07-21,2024-08-25,4 consecutive weeks no increase,4,6,Gompertz,0.999999819161101,4.000500226438563,4054150176290.5815,8.983917455247653
Rwanda,RWA,2,2024-09-08,2025-01-12,reached last data,78,19,Gompertz,0.9953515876066884,99.42035716567483,17.744430154382037,0.19933162816963534
Sierra Leone,SLE,1,2025-01-05,2025-01-19,reached last data,8,3,Gompertz,,,,
South Africa,ZAF,1,2022-06-26,2022-09-25,4 consecutive weeks no increase,5,14,Gompertz,0.9887462403038276,5.34199098786908,6.993565984860735,0.296640437866964
South Africa,ZAF,2,2024-05-05,2024-10-06,4 consecutive weeks no increase,25,23,Gompertz,0.9974978623821108,24.772829793132356,39.972397050394996,0.4298984442047262
Sudan,SDN,1,2022-07-31,2023-04-09,reached last data,19,9,Gompertz,0.983404642153358,28.131194463801464,41.79991985874265,0.3714577284907678
Uganda,UGA,1,2024-07-21,2025-01-19,reached last data,2031,27,Gompertz,0.9993345899597681,4958.737635124898,17.63249319832731,0.09686560364805441
Zambia,ZMB,1,2024-10-06,2024-11-10,4 consecutive weeks no increase,1,6,Gompertz,0.999999805807615,1.0001265619057647,3481030643723.008,8.942478487515821
Zambia,ZMB,2,2024-12-22,2025-01-05,reached last data,3,3,Gompertz,,,,
Zimbabwe,ZWE,1,2024-10-06,2024-11-10,4 consecutive weeks no increase,2,6,Gompertz,0.9999998201740669,2.000249421589507,4094587625687.9824,8.987090440569238
