country,country_code,outbreak_idx,start_date,end_date,termination_reason,total_increment,duration_weeks,model,goodness_of_fit,K,r,t0
Angola,AGO,1,2024-11-10,2024-12-29,reached last data,4,8,Logistic,0.9977763972889042,4.062432398621796,1.3319353679901529,7.035193752792353
Benin,BEN,1,2022-06-19,2022-07-17,4 consecutive weeks no increase,3,5,Logistic,0.9999856718908549,3.0029474262541047,9.999999999999998,3.5038436174737293
Burundi,BDI,1,2024-07-21,2025-01-12,reached last data,3116,26,Logistic,0.9991251961121237,3321.0218912513424,0.2470754320508089,19.828712033414927
C?te d??voire,CIV,1,2024-06-30,2024-12-22,4 consecutive weeks no increase,107,26,Logistic,0.9974071091811997,107.91414237283713,0.2870725609009593,14.03168703135077
Cameroon,CMR,1,2022-02-27,2022-04-10,4 consecutive weeks no increase,3,7,Logistic,0.9978552086636129,3.0201729236801738,1.8326045894509448,4.511400436222698
Cameroon,CMR,2,2022-04-24,2022-05-22,4 consecutive weeks no increase,1,5,Logistic,0.9999856719700819,1.0009824558004292,9.999999999999998,3.503841647118618
Cameroon,CMR,3,2022-05-29,2022-07-24,4 consecutive weeks no increase,4,9,Logistic,0.9853885155116197,4.108219356679846,0.8804389764318521,6.214361557836103
Cameroon,CMR,4,2022-09-04,2022-12-04,4 consecutive weeks no increase,10,14,Logistic,0.9904031433721349,10.361436389836273,0.6092679746108379,9.791629248004512
Cameroon,CMR,5,2023-05-14,2023-08-20,4 consecutive weeks no increase,25,15,Logistic,0.9851233833835824,24.439541555323878,0.832433363795389,5.013114943179562
Cameroon,CMR,6,2023-09-03,2023-10-29,4 consecutive weeks no increase,2,9,Logistic,0.9636982957177823,2.060667181537963,0.6607065619305178,5.636098557659582
Cameroon,CMR,7,2024-01-07,2024-02-04,4 consecutive weeks no increase,2,5,Logistic,0.9999856718685923,2.0019649622411193,9.999999999999998,3.5038441710434856
Cameroon,CMR,8,2024-03-31,2024-05-05,4 consecutive weeks no increase,3,6,Logistic,0.9999999985806146,3.00003890632529,9.99999820516435,4.069316662529767
Cameroon,CMR,9,2024-08-25,2024-09-22,4 consecutive weeks no increase,1,5,Logistic,0.9999856719700819,1.0009824558004292,9.999999999999998,3.503841647118618
Cameroon,CMR,10,2024-11-10,2024-12-08,4 consecutive weeks no increase,3,5,Logistic,0.9999856718908549,3.0029474262541047,9.999999999999998,3.5038436174737293
Central African Republic,CAF,1,2022-01-02,2022-05-08,4 consecutive weeks no increase,19,19,Logistic,0.9921589555270468,19.34587851934672,0.3746265005188959,9.917699262199971
Central African Republic,CAF,2,2022-07-10,2022-11-06,4 consecutive weeks no increase,9,18,Logistic,0.9750175408598405,10.199818392117844,0.22675046105713256,11.97935615408203
Central African Republic,CAF,3,2022-12-04,2023-04-16,4 consecutive weeks no increase,17,20,Logistic,0.9956009878215462,17.31143845123771,0.3338187914907428,11.230915874008101
Central African Republic,CAF,4,2023-12-17,2024-04-21,4 consecutive weeks no increase,21,19,Logistic,0.9917040888724005,21.801358059419986,0.34084178801836573,11.438904715814239
Central African Republic,CAF,5,2024-06-02,2025-01-12,reached last data,76,33,Logistic,0.9914986227303311,81.24312495421266,0.1631921149007891,22.244061894048663
Congo,COG,1,2022-04-17,2022-05-15,4 consecutive weeks no increase,2,5,Logistic,0.9999856718685923,2.0019649622411193,9.999999999999998,3.5038441710434856
Congo,COG,2,2022-08-07,2022-10-02,4 consecutive weeks no increase,3,9,Logistic,0.9642697394843002,3.133776592069047,0.769874414494196,6.565710574565176
Congo,COG,3,2023-08-06,2023-12-10,4 consecutive weeks no increase,21,19,Logistic,0.9889277117875493,20.944658908982774,0.3977447871513246,8.621526030295737
Congo,COG,4,2024-01-07,2024-03-31,4 consecutive weeks no increase,19,13,Logistic,0.9884109815284471,19.836694224284876,0.5986784601657476,9.539198470020622
