country,country_code,outbreak_idx,start_date,end_date,termination_reason,total_increment,duration_weeks,model,goodness_of_fit,K,lam,a
Angola,AGO,1,2024-11-10,2024-12-22,4 consecutive weeks no increase,4,7,Weibull,0.998381626639757,4.01694976886406,0.1830262684619712,4.590236015246764
Benin,BEN,1,2022-06-19,2022-07-10,4 consecutive weeks no increase,3,4,Weibull,0.9999999999999996,3.0,0.2594714203671273,79.9331083784754
Burundi,BDI,1,2024-07-21,2025-01-12,reached last data,3116,26,Weibull,0.9998204477530162,3373.676876800356,0.0447106665155037,3.219514863812878
C?te d??voire,CIV,1,2024-06-30,2024-12-15,4 consecutive weeks no increase,107,25,Weibull,0.9987787916858542,108.76790982074515,0.0621015779610033,2.5862016880371193
Cameroon,CMR,1,2022-02-27,2022-04-03,4 consecutive weeks no increase,3,6,Weibull,0.9983679509884045,3.010814703108254,0.20619523715227267,5.709731740322012
Cameroon,CMR,2,2022-04-24,2022-05-15,4 consecutive weeks no increase,1,4,Weibull,0.9999999999999998,1.0,0.2596404539150464,77.69816684820027
Cameroon,CMR,3,2022-05-29,2022-07-17,4 consecutive weeks no increase,4,8,Weibull,0.9855580277360189,4.0730447622931525,0.14670814826180378,3.8349844141916547
Cameroon,CMR,4,2022-09-04,2022-11-27,4 consecutive weeks no increase,10,13,Weibull,0.9900573755407127,10.190992139445962,0.0941017491870786,4.284625373191918
Cameroon,CMR,5,2023-05-14,2023-08-13,4 consecutive weeks no increase,25,14,Weibull,0.9859514777460457,24.393676931459577,0.17581084613192643,2.707426984946734
Cameroon,CMR,6,2023-09-03,2023-09-24,4 consecutive weeks no increase,1,4,Weibull,0.9999999999999998,1.0,0.2596404539150464,77.69816684820027
Cameroon,CMR,7,2023-10-01,2023-10-22,4 consecutive weeks no increase,1,4,Weibull,0.9999999999999998,1.0,0.2596404539150464,77.69816684820027
Cameroon,CMR,8,2024-01-07,2024-01-28,4 consecutive weeks no increase,2,4,Weibull,1.0,2.0,0.2593436880705124,81.632012382721
Cameroon,CMR,9,2024-03-31,2024-04-28,4 consecutive weeks no increase,3,5,Weibull,0.9999999999999996,3.0,0.2464796582689083,63.655017954222515
Cameroon,CMR,10,2024-08-25,2024-09-15,4 consecutive weeks no increase,1,4,Weibull,0.9999999999999998,1.0,0.2596404539150464,77.69816684820027
Cameroon,CMR,11,2024-11-10,2024-12-01,4 consecutive weeks no increase,3,4,Weibull,0.9999999999999996,3.0,0.2594714203671273,79.9331083784754
Central African Republic,CAF,1,2022-01-02,2022-03-06,4 consecutive weeks no increase,12,10,Weibull,0.9876135489314736,12.373936582249238,0.12042344986734872,3.1858838050957217
Central African Republic,CAF,2,2022-03-13,2022-05-01,4 consecutive weeks no increase,7,8,Weibull,0.9919952971590915,6.666666667229166,0.2495275450982126,46.18797338489409
Central African Republic,CAF,3,2022-07-10,2022-08-28,4 consecutive weeks no increase,4,8,Weibull,0.984939727290066,4.007928622652819,0.1809196822251442,2.8833775698150066
